config_name,iter,best_mean,best_std,mean_mean,mean_std,n_curves
nsga2,0,16225.695167895463,9387.638091640638,21100.695971799967,12589.574113900568,70
nsga2,1,16203.754465854172,9363.44283712371,17667.49202403397,10343.665438917444,70
nsga2,2,16196.919639357262,9359.065705100335,16928.370512518155,9950.776715305341,70
nsga2,3,16196.551403789857,9359.182094415492,16592.688565258657,9691.558279464702,70
nsga2,4,16195.02019322896,9356.174646803056,16409.59312048914,9538.798180270127,70
nsga2,5,16192.14176791455,9356.18111662495,16309.663672222094,9459.328709167894,70
nsga2,6,16187.858226384687,9348.711576169388,16277.880106861357,9436.743959669355,70
nsga2,7,16187.858226384687,9348.711576169388,16262.733007937713,9427.878303742966,70
nsga2,8,16187.858226384687,9348.711576169388,16252.698766132302,9421.311192713434,70
nsga2,9,16187.858226384687,9348.711576169388,16243.927142700803,9415.339421594977,70
nsga2,10,16187.858226384687,9348.711576169388,16236.65092639816,9408.771183314127,70
nsga2,11,16187.858226384687,9348.711576169388,16233.00188368961,9407.009037954584,70
nsga2,12,16187.858226384687,9348.711576169388,16229.830361617196,9405.50518147824,70
nsga2,13,16187.858226384687,9348.711576169388,16225.588327645919,9402.967442997238,70
nsga2,14,16187.858226384687,9348.711576169388,16222.907260023318,9401.0940023703,70
nsga2,15,16187.858226384687,9348.711576169388,16222.579457370593,9401.05087469484,70
nsga2,16,16187.858226384687,9348.711576169388,16222.370705972262,9401.066473528836,70
nsga2,17,16187.858226384687,9348.711576169388,16222.370705972262,9401.066473528836,70
nsga2,18,16187.858226384687,9348.711576169388,16222.370705972262,9401.066473528836,70
nsga2,19,16187.858226384687,9348.711576169388,16222.370705972262,9401.066473528836,70
nsga2_rl,0,16227.581287340377,9386.71693378106,20880.24097647419,12300.834576169473,70
nsga2_rl,1,16205.488337275581,9371.120468498637,17627.687901205212,10370.050370573474,70
nsga2_rl,2,16196.271003289132,9365.504591640176,16884.039203420223,9984.185753728121,70
nsga2_rl,3,16191.765136095764,9356.685761686818,16572.212119739295,9726.288178494642,70
nsga2_rl,4,16188.809428344983,9355.39338794758,16417.175417453418,9577.90979400823,70
nsga2_rl,5,16188.809428344983,9355.39338794758,16314.413987701453,9474.28652343086,70
nsga2_rl,6,16188.809428344983,9355.39338794758,16276.856491490258,9438.593333348801,70
nsga2_rl,7,16188.809428344983,9355.39338794758,16261.150828331974,9425.544140637745,70
nsga2_rl,8,16188.809428344983,9355.39338794758,16249.544193669059,9416.713309851328,70
nsga2_rl,9,16185.779731512266,9350.110954564778,16237.54491218886,9407.612008130003,70
nsga2_rl,10,16185.779731512266,9350.110954564778,16231.437481272234,9405.210813187341,70
nsga2_rl,11,16185.779731512266,9350.110954564778,16228.383962070227,9403.462214705485,70
nsga2_rl,12,16185.779731512266,9350.110954564778,16226.651971969568,9401.580548365742,70
nsga2_rl,13,16185.779731512266,9350.110954564778,16225.34377722009,9399.846990691954,70
nsga2_rl,14,16185.779731512266,9350.110954564778,16224.517665832429,9398.772961428906,70
nsga2_rl,15,16185.779731512266,9350.110954564778,16224.517665832429,9398.772961428906,70
nsga2_rl,16,16185.779731512266,9350.110954564778,16224.517665832429,9398.772961428906,70
